Account Code,Account Name,Balance
4-1000,Sales - Draw Games Sales (40000-00-00-0000-D3),14990083.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-D4),2984789.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-DD),2387110.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-F5),15021902.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-HS),33652294.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-MM),236416256.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-PB),34733284.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-SLP),21243652.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1159),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1160),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1167),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1170),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1171),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1175),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1176),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1177),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1180),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1186),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1187),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1188),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1190),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1191),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1196),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1200),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1201),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1202),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1203),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1205),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1206),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1207),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1208),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1209),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1211),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1212),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1213),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1215),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1216),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1217),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1218),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1219),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1220),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1221),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1222),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1223),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1224),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1225),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1226),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1227),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1228),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1229),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1230),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1231),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1233),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1234),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1235),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1236),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1237),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1238),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1239),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1240),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1241),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1242),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1243),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1244),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1245),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1246),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1247),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1248),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1249),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1250),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1251),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1252),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1253),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1254),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1255),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1256),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1257),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1258),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1259),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1260),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1261),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1262),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1263),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1264),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1265),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1266),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1267),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1268),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1269),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1270),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1271),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1272),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1273),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1274),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1275),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1276),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1277),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1278),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1279),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1280),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1281),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1282),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1283),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1284),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1285),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1286),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1287),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1288),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1289),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1290),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1291),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1292),400.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1293),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1294),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1295),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1296),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1297),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1298),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1299),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1300),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1301),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1302),255.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1303),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1304),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1305),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1306),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1307),5.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1308),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1309),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1310),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1311),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1312),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1313),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1314),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1315),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1316),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1317),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1318),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1319),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1320),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1321),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1322),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1323),3.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1324),400.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1325),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1326),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1327),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1328),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1329),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1330),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1331),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1332),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1333),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1334),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1335),3.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1336),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1337),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1338),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1339),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1340),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1341),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1342),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1343),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1344),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1345),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1346),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1347),20.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1348),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1349),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1350),140.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1351),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1352),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1353),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1354),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1355),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1356),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1357),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1358),400.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1359),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1360),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1361),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1362),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1363),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1364),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1365),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1366),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1367),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1368),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1369),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1370),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1371),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1372),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1373),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1374),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1375),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1376),85.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1377),600.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1378),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1379),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1380),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1381),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1382),20.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1383),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1384),85.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1385),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1386),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1387),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1388),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1389),430.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1390),840.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1391),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1392),0.0
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1393),0.0
