Lottery Financials,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,,
Draw Games,,"374,290.12 ","1,194,845.28 ","1,861,206.13 ","1,837,742.55 ","1,688,096.08 ","1,048,577.97 ","1,329,800.01 ","1,392,512.68 ","1,599,700.82 ","1,696,183.17 ","1,535,812.61 ","1,617,321.36 ","1,543,120.43 ","1,410,186.70 ","1,705,913.66 ","1,712,253.46 ","1,569,850.32 ","1,635,000.06 ","1,596,832.56 ","1,655,363.48 ","1,493,990.99 ","1,498,579.02 ","1,339,484.07 ","1,379,681.16 ","1,436,498.49 ","1,616,111.48 ","1,435,754.11 ","1,745,739.12 ","1,609,469.18 ","1,923,770.85 ","1,657,439.71 ","1,888,394.94 ","2,217,258.78 ","1,592,237.90 ","2,008,480.79 ","2,023,140.98 ","2,664,858.67 ","59,535,499.68 ",,
SCRATCHERS,"1,765,571.56 ","1,017,936.33 ","911,647.19 ","767,667.37 ","641,918.52 ","443,825.27 ","310,073.11 ","429,694.63 ","538,517.66 ","566,420.56 ","596,141.76 ","527,322.09 ","677,102.46 ","955,178.06 ","1,188,192.29 ","1,188,927.86 ","1,184,119.07 ","1,211,719.53 ","1,338,975.65 ","1,736,788.11 ","1,929,632.77 ","1,824,355.51 ","1,551,041.89 ","1,615,355.02 ","1,661,278.71 ","2,002,079.51 ","2,755,380.27 ","3,010,119.93 ","3,288,922.31 ","3,915,381.41 ","4,351,826.44 ","4,576,028.71 ","5,077,397.18 ","5,170,791.53 ","5,029,765.51 ","6,409,463.02 ","6,830,109.19 ","6,585,518.09 ","85,582,186.10 ",,
        TOTAL SALES,"1,765,571.56 ","1,392,226.46 ","2,106,492.47 ","2,628,873.50 ","2,479,661.07 ","2,131,921.35 ","1,358,651.08 ","1,759,494.64 ","1,931,030.33 ","2,166,121.38 ","2,292,324.93 ","2,063,134.69 ","2,294,423.82 ","2,498,298.49 ","2,598,378.99 ","2,894,841.52 ","2,896,372.53 ","2,781,569.86 ","2,973,975.72 ","3,333,620.67 ","3,584,996.25 ","3,318,346.51 ","3,049,620.92 ","2,954,839.09 ","3,040,959.87 ","3,438,578.00 ","4,371,491.75 ","4,445,874.04 ","5,034,661.42 ","5,524,850.59 ","6,275,597.29 ","6,233,468.42 ","6,965,792.11 ","7,388,050.32 ","6,622,003.41 ","8,417,943.82 ","8,853,250.17 ","9,250,376.76 ","145,117,685.78 ",,
TOTAL RESOURCES,"1,765,571.56 ","1,392,226.46 ","2,106,492.47 ","2,628,873.50 ","2,479,661.07 ","2,131,921.35 ","1,358,651.08 ","1,759,494.64 ","1,931,030.33 ","2,166,121.38 ","2,292,324.93 ","2,063,134.69 ","2,294,423.82 ","2,498,298.49 ","2,598,378.99 ","2,894,841.52 ","2,896,372.53 ","2,781,569.86 ","2,973,975.72 ","3,333,620.67 ","3,584,996.25 ","3,318,346.51 ","3,049,620.92 ","2,954,839.09 ","3,040,959.87 ","3,438,578.00 ","4,371,491.75 ","4,445,874.04 ","5,034,661.42 ","5,524,850.59 ","6,275,597.29 ","6,233,468.42 ","6,965,792.11 ","7,388,050.32 ","6,622,003.41 ","8,417,943.82 ","8,853,250.17 ","9,250,376.76 ","145,117,685.78 ",,
PRIZES COST,"886,333.76 ","693,188.48 ","1,047,890.94 ","1,314,091.76 ","1,240,410.30 ","1,061,545.04 ","669,199.20 ","880,954.44 ","964,306.50 ","1,075,188.77 ","1,128,453.14 ","1,030,535.48 ","1,182,038.21 ","1,307,442.87 ","1,369,435.48 ","1,503,768.46 ","1,502,966.62 ","1,451,804.08 ","1,566,027.50 ","1,795,254.44 ","1,932,721.44 ","1,765,643.37 ","1,619,473.50 ","1,556,120.63 ","1,611,371.07 ","1,904,787.95 ","2,560,306.59 ","2,652,095.10 ","3,082,376.40 ","3,501,745.87 ","3,955,791.37 ","3,963,453.36 ","4,476,580.35 ","4,715,592.67 ","4,403,715.16 ","5,610,605.54 ","5,825,673.02 ","6,000,781.49 ","84,809,670.36 ",,
RESOURCES AFTER PRIZES,"879,237.80 ","699,037.98 ","1,058,601.53 ","1,314,781.73 ","1,239,250.78 ","1,070,376.31 ","689,451.88 ","878,540.20 ","966,723.83 ","1,090,932.61 ","1,163,871.79 ","1,032,599.21 ","1,112,385.62 ","1,190,855.62 ","1,228,943.51 ","1,391,073.07 ","1,393,405.91 ","1,329,765.78 ","1,407,948.22 ","1,538,366.23 ","1,652,274.81 ","1,552,703.14 ","1,430,147.42 ","1,398,718.46 ","1,429,588.79 ","1,533,790.04 ","1,811,185.16 ","1,793,778.94 ","1,952,285.02 ","2,023,104.72 ","2,319,805.91 ","2,270,015.06 ","2,489,211.76 ","2,672,457.64 ","2,218,288.25 ","2,807,338.28 ","3,027,577.15 ","3,249,595.27 ","60,308,015.41 ",,
Retailer Compensation Cost,"89,914.26 ","69,568.25 ","115,108.60 ","144,121.30 ","137,460.67 ","130,567.12 ","86,050.44 ","114,430.15 ","125,889.20 ","140,896.41 ","148,230.54 ","133,220.15 ","151,222.06 ","169,791.26 ","179,241.75 ","196,793.92 ","198,064.49 ","189,814.98 ","205,744.97 ","233,447.85 ","252,543.06 ","233,792.64 ","213,022.18 ","208,105.70 ","214,484.06 ","233,571.29 ","295,829.99 ","302,946.13 ","345,513.05 ","380,344.94 ","432,985.61 ","433,656.26 ","480,545.14 ","505,903.08 ","460,706.64 ","585,861.91 ","614,710.75 ","631,035.62 ","9,785,136.41 ",,
Draw Games Cost,,"13,138.02 ","22,518.30 ","24,569.90 ","27,577.29 ","31,819.93 ","30,226.69 ","32,000.06 ","41,368.13 ","50,179.71 ","53,289.09 ","50,353.77 ","46,530.80 ","38,779.05 ","33,080.21 ","35,752.10 ","33,767.79 ","33,662.83 ","33,277.08 ","35,702.57 ","37,277.06 ","37,820.17 ","37,250.76 ","33,687.06 ","35,984.28 ","35,428.11 ","48,258.99 ","49,562.42 ","70,486.88 ","68,881.60 ","78,276.79 ","81,566.53 ","90,998.84 ","92,088.60 ","82,692.87 ","97,963.15 ","102,320.42 ","109,529.58 ","1,857,667.41 ",,
Scratchers Costs,"47,313.00 ","23,731.67 ","20,291.90 ","19,085.18 ","14,385.27 ","13,070.71 ","7,760.29 ","8,333.86 ","12,088.19 ","13,614.73 ","22,604.73 ","17,307.53 ","27,345.76 ","36,850.96 ","41,770.24 ","49,856.43 ","46,361.22 ","44,569.02 ","25,033.16 ","21,042.55 ","21,144.51 ","17,725.02 ","15,780.72 ","17,217.37 ","18,214.86 ","20,705.34 ","25,774.03 ","27,588.89 ","29,540.70 ","29,990.18 ","36,485.52 ","34,819.17 ","36,600.84 ","39,207.90 ","36,567.32 ","44,601.52 ","41,836.79 ","52,254.46 ","1,058,471.56 ",,
   TOTAL GAME COSTS,"137,227.26 ","106,437.94 ","157,918.80 ","187,776.38 ","179,423.23 ","175,457.77 ","124,037.41 ","154,764.08 ","179,345.52 ","204,690.85 ","224,124.36 ","200,881.45 ","225,098.62 ","245,421.27 ","254,092.19 ","282,402.45 ","278,193.51 ","268,046.82 ","264,055.22 ","290,192.97 ","310,964.63 ","289,337.83 ","266,053.65 ","259,010.13 ","268,683.20 ","289,704.74 ","369,863.02 ","380,097.43 ","445,540.63 ","479,216.73 ","547,747.91 ","550,041.95 ","608,144.82 ","637,199.58 ","579,966.83 ","728,426.58 ","758,867.96 ","792,819.66 ","12,701,275.37 ",,
