Account Code,Account Name,Balance
1-1000,Cash and cash equivalents,984498662.35
1-1200,"Accounts receivable, net",419653440.0
1-1310,Instant ticket inventory,14472960.0
1-1400,Investments,99927840.0
1-2200,"Long-term investments, net",984048480.0
1-2300,Leases,8708160.0
1-2400,Capital assets,275040.0
1-3000,Deferred outflows of resources,9215520.0
2-1100,Prizes payable,-123984000.0
2-1010,Leases payable,-816960.0
2-1150,Unclaimed prizes,-462863520.0
2-1200,Due to Lottery Aid to Education,-581347680.0
2-1000,Accounts payable and accrued liabilities,-5243040.0
2-1300,Unearned ticket sales,-9024480.0
2-1400,Compensated absences,-883680.0
2-2400,"Compensated absences, noncurrent",-178080.0
2-2010,Long-term leases payable,-7989600.0
2-2500,Net pension liability,-5975520.0
2-2600,Other postemployment benefits,-59555040.0
2-2100,Long-term prizes payable,-904016640.0
2-3000,Deferred inflows of resources,-9600480.0
3-1000,Invested in capital assets,-44160.0
3-1100,Restricted for future prizes,-314279520.0
3-1200,Unrestricted,-26833440.0
4-3000,Investment gain,-33722976.0
4-4000,"Other revenue, net",-5925628.8
5-3000,"Investment expense, net",20707008.0
5-2200,Gaming contractor fees,128292662.4
5-2400,Instant ticket direct expenses,7979395.2
5-2500,Telecommunications expenses,7723027.2
6-4000,Marketing and advertising expenses,37336118.4
6-4100,Personal service and fringe benefits,11458003.2
6-4200,Other administrative costs,2239104.0
6-4300,State agency charges,2797939.2
6-4400,Amortization - leases,1190112.0
6-4500,Depreciation,6585.6
5-2300,Required allocation for Lottery Aid to Education,1775934048.0
5-2350,Lottery Aid Guarantee,-65856000.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-D3),-99252095.04
4-1000,Sales - Draw Games Sales (40000-00-00-0000-D4),-59551257.02
4-1000,Sales - Draw Games Sales (40000-00-00-0000-DD),-39700838.02
4-1000,Sales - Draw Games Sales (40000-00-00-0000-F5),-99252095.04
4-1000,Sales - Draw Games Sales (40000-00-00-0000-HS),-198504190.08
4-1000,Sales - Draw Games Sales (40000-00-00-0000-MM),-794016760.32
4-1000,Sales - Draw Games Sales (40000-00-00-0000-PB),-595512570.24
4-1000,Sales - Draw Games Sales (40000-00-00-0000-SLP),-99252095.04
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1159),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1200),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1213),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1223),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1234),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1250),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1300),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1350),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1400),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1450),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1460),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1470),-198504190.08
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1480),-198504190.08
