Account Code,Account Name,Balance
1-1000,Cash and cash equivalents,1144691692.88
1-1200,"Accounts receivable, net",413804800.0
1-1310,Instant ticket inventory,15051840.0
1-1400,Investments,97709760.0
1-2200,"Long-term investments, net",892991680.0
1-2300,Leases,11610880.0
1-2400,Capital assets,343680.0
1-3000,Deferred outflows of resources,10352320.0
2-1100,Prizes payable,-121731200.0
2-1010,Leases payable,-1089280.0
2-1150,Unclaimed prizes,-447675520.0
2-1200,Due to Lottery Aid to Education,-688934720.0
2-1000,Accounts payable and accrued liabilities,-5749760.0
2-1300,Unearned ticket sales,-8871360.0
2-1400,Compensated absences,-856320.0
2-2400,"Compensated absences, noncurrent",-172480.0
2-2010,Long-term leases payable,-10652800.0
2-2500,Net pension liability,-6814080.0
2-2600,Other postemployment benefits,-58449600.0
2-2100,Long-term prizes payable,-869837440.0
2-3000,Deferred inflows of resources,-10487680.0
3-1000,Invested in capital assets,-29440.0
3-1100,Restricted for future prizes,-337359680.0
3-1200,Unrestricted,-6931840.0
4-3000,Investment gain,-45078672.0
4-4000,"Other revenue, net",-7920993.6
5-3000,"Investment expense, net",27679776.0
5-2200,Gaming contractor fees,171493252.8
5-2400,Instant ticket direct expenses,10666334.4
5-2500,Telecommunications expenses,10323638.4
6-4000,Marketing and advertising expenses,49908484.8
6-4100,Personal service and fringe benefits,15316310.4
6-4200,Other administrative costs,2993088.0
6-4300,State agency charges,3740102.4
6-4400,Amortization - leases,1590864.0
6-4500,Depreciation,8803.2
5-2300,Required allocation for Lottery Aid to Education,2373952656.0
5-2350,Lottery Aid Guarantee,-88032000.0
4-1000,Sales - Draw Games Sales (40000-00-00-0000-D3),-132673718.88
4-1000,Sales - Draw Games Sales (40000-00-00-0000-D4),-79604231.33
4-1000,Sales - Draw Games Sales (40000-00-00-0000-DD),-53069487.55
4-1000,Sales - Draw Games Sales (40000-00-00-0000-F5),-132673718.88
4-1000,Sales - Draw Games Sales (40000-00-00-0000-HS),-265347437.76
4-1000,Sales - Draw Games Sales (40000-00-00-0000-MM),-1061389751.04
4-1000,Sales - Draw Games Sales (40000-00-00-0000-PB),-796042313.28
4-1000,Sales - Draw Games Sales (40000-00-00-0000-SLP),-132673718.88
4-1000,Sales - Scratchers Sales (40100-00-00-0000-1159),-265347437.76
